Exposure Id,Type,Country,ISO3,Region,Name,Exposure Lower,Exposure Mean,Exposure Upper,Year,Pollutant,Pollutant Name,Region Name,Units
4599,country,Austria,AUT,EU,European Union,14.9,25,38,1990,pm25,PM<sub>2.5</sub>,EU,µg/m3
108780,country,Austria,AUT,country,Austria,14.9,25,38,1990,pm25,PM<sub>2.5</sub>,Country,µg/m3
4625,country,Austria,AUT,EU,European Union,17.7,25.2,35.9,1991,pm25,PM<sub>2.5</sub>,EU,µg/m3
108806,country,Austria,AUT,country,Austria,17.7,25.2,35.9,1991,pm25,PM<sub>2.5</sub>,Country,µg/m3
108807,country,Austria,AUT,country,Austria,18.3,24.8,34.4,1992,pm25,PM<sub>2.5</sub>,Country,µg/m3
4626,country,Austria,AUT,EU,European Union,18.3,24.8,34.4,1992,pm25,PM<sub>2.5</sub>,EU,µg/m3
4627,country,Austria,AUT,EU,European Union,18.8,24.4,32.7,1993,pm25,PM<sub>2.5</sub>,EU,µg/m3
108808,country,Austria,AUT,country,Austria,18.8,24.4,32.7,1993,pm25,PM<sub>2.5</sub>,Country,µg/m3
4628,country,Austria,AUT,EU,European Union,19.4,24,30.8,1994,pm25,PM<sub>2.5</sub>,EU,µg/m3
108809,country,Austria,AUT,country,Austria,19.4,24,30.8,1994,pm25,PM<sub>2.5</sub>,Country,µg/m3
108781,country,Austria,AUT,country,Austria,17.8,24.6,34.9,1995,pm25,PM<sub>2.5</sub>,Country,µg/m3
4600,country,Austria,AUT,EU,European Union,17.8,24.6,34.9,1995,pm25,PM<sub>2.5</sub>,EU,µg/m3
4629,country,Austria,AUT,EU,European Union,20,23.2,27.6,1996,pm25,PM<sub>2.5</sub>,EU,µg/m3
108810,country,Austria,AUT,country,Austria,20,23.2,27.6,1996,pm25,PM<sub>2.5</sub>,Country,µg/m3
108811,country,Austria,AUT,country,Austria,20.1,22.9,26.9,1997,pm25,PM<sub>2.5</sub>,Country,µg/m3
4630,country,Austria,AUT,EU,European Union,20.1,22.9,26.9,1997,pm25,PM<sub>2.5</sub>,EU,µg/m3
4631,country,Austria,AUT,EU,European Union,20.1,22.5,26.1,1998,pm25,PM<sub>2.5</sub>,EU,µg/m3
108812,country,Austria,AUT,country,Austria,20.1,22.5,26.1,1998,pm25,PM<sub>2.5</sub>,Country,µg/m3
108813,country,Austria,AUT,country,Austria,19.5,22.1,25.5,1999,pm25,PM<sub>2.5</sub>,Country,µg/m3
4632,country,Austria,AUT,EU,European Union,19.5,22.1,25.5,1999,pm25,PM<sub>2.5</sub>,EU,µg/m3
4601,country,Austria,AUT,EU,European Union,20.5,21.2,21.9,2000,pm25,PM<sub>2.5</sub>,EU,µg/m3
108782,country,Austria,AUT,country,Austria,20.5,21.2,21.9,2000,pm25,PM<sub>2.5</sub>,Country,µg/m3
108783,country,Austria,AUT,country,Austria,19.5,20.1,20.7,2001,pm25,PM<sub>2.5</sub>,Country,µg/m3
4602,country,Austria,AUT,EU,European Union,19.5,20.1,20.7,2001,pm25,PM<sub>2.5</sub>,EU,µg/m3
4603,country,Austria,AUT,EU,European Union,20,20.6,21.1,2002,pm25,PM<sub>2.5</sub>,EU,µg/m3
108784,country,Austria,AUT,country,Austria,20,20.6,21.1,2002,pm25,PM<sub>2.5</sub>,Country,µg/m3
4604,country,Austria,AUT,EU,European Union,20.7,21.2,21.8,2003,pm25,PM<sub>2.5</sub>,EU,µg/m3
