Region;Schadstoff;Einheit;NFR_Code;Trendbericht_Sektor;Quelle;Datenstand;Jahr; Werte 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1990; 215.855,04 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1991; 225.617,42 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1992; 213.983,87 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1993; 208.070,23 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1994; 199.885,73 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1995; 199.189,33 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1996; 217.043,36 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1997; 203.255,79 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1998; 215.119,27 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;1999; 206.846,90 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2000; 212.622,16 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2001; 223.307,68 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2002; 231.202,86 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2003; 242.325,47 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2004; 242.314,49 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2005; 247.730,39 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2006; 238.344,11 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2007; 231.594,37 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2008; 218.229,75 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2009; 204.824,67 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2010; 205.822,23 
AT;NOX;t;0;Gesamt;OLI 2024 (1990-2023);45703;2011; 197.829,96 
