NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;UNIT;REF_YEAR;ROAD_TRAFFIC;SCWR_CALC
AT1;AT13;AT130;90001;0;1990;1.000 t;2022;2162,23; 1.344,17 
AT1;AT13;AT130;90001;0;1991;1.000 t;2022;2396,25; 1.386,75 
AT1;AT13;AT130;90001;0;1992;1.000 t;2022;2384,47; 1.437,86 
AT1;AT13;AT130;90001;0;1993;1.000 t;2022;2396,73; 1.458,04 
AT1;AT13;AT130;90001;0;1994;1.000 t;2022;2395,62; 1.508,45 
AT1;AT13;AT130;90001;0;1995;1.000 t;2022;2422,97; 1.535,02 
AT1;AT13;AT130;90001;0;1996;1.000 t;2022;2646,42; 1.577,42 
AT1;AT13;AT130;90001;0;1997;1.000 t;2022;2495,57; 1.604,59 
AT1;AT13;AT130;90001;0;1998;1.000 t;2022;2789,61; 1.648,99 
AT1;AT13;AT130;90001;0;1999;1.000 t;2022;2689,96; 1.693,77 
AT1;AT13;AT130;90001;0;2000;1.000 t;2022;2814,25; 1.729,26 
AT1;AT13;AT130;90001;0;2001;1.000 t;2022;3016,53; 1.754,61 
AT1;AT13;AT130;90001;0;2002;1.000 t;2022;3345,62; 1.795,61 
AT1;AT13;AT130;90001;0;2003;1.000 t;2022;3607,81; 1.835,69 
AT1;AT13;AT130;90001;0;2004;1.000 t;2022;3688,71; 1.855,78 
AT1;AT13;AT130;90001;0;2005;1.000 t;2022;3740,25; 1.834,98 
AT1;AT13;AT130;90001;0;2006;1.000 t;2022;3518,52; 1.808,19 
AT1;AT13;AT130;90001;0;2007;1.000 t;2022;3515,83; 1.805,61 
AT1;AT13;AT130;90001;0;2008;1.000 t;2022;3283,44; 1.712,91 
AT1;AT13;AT130;90001;0;2009;1.000 t;2022;3159,47; 1.633,50 
AT1;AT13;AT130;90001;0;2010;1.000 t;2022;3232,48; 1.660,42 
AT1;AT13;AT130;90001;0;2011;1.000 t;2022;3108,74; 1.650,36 
AT1;AT13;AT130;90001;0;2012;1.000 t;2022;3062,89; 1.628,66 
AT1;AT13;AT130;90001;0;2013;1.000 t;2022;3167,63; 1.637,12 
AT1;AT13;AT130;90001;0;2014;1.000 t;2022;3070,80; 1.645,77 
AT1;AT13;AT130;90001;0;2015;1.000 t;2022;3099,44; 1.659,49 
AT1;AT13;AT130;90001;0;2016;1.000 t;2022;3223,16; 1.758,84 
AT1;AT13;AT130;90001;0;2017;1.000 t;2022;3305,59; 1.802,60 
AT1;AT13;AT130;90001;0;2018;1.000 t;2022;3273,36; 1.776,91 
AT1;AT13;AT130;90001;0;2019;1.000 t;2022;3278,47; 1.677,34 
AT1;AT13;AT130;90001;0;2020;1.000 t;2022;2845,52; 1.578,55 
AT1;AT13;AT130;90001;0;2021;1.000 t;2022;2884,74; 1.605,54 
AT1;AT13;AT130;90001;0;2022;1.000 t;2022;2753,62; 1.603,80 
