time,pm10,pm2_5,nitrogen_dioxide,ozone,sulphur_dioxide,carbon_monoxide,ammonia,carbon_dioxide,methane,dust,us_aqi,european_aqi
2025-12-05 00:00:00,19.3,18.0,21.0,28.0,2.9,264.0,0.4,471,1532.0,0.0,83,62
2025-12-05 01:00:00,19.3,17.8,19.3,24.0,1.9,256.0,0.3,470,1537.0,0.0,82,61
2025-12-05 02:00:00,19.3,16.5,17.0,26.0,1.6,240.0,0.3,468,1531.0,0.0,81,61
2025-12-05 03:00:00,16.2,14.0,14.0,29.0,1.4,229.0,0.2,465,1519.0,0.0,80,61
2025-12-05 04:00:00,14.3,13.1,11.7,34.0,1.5,217.0,0.2,465,1512.0,0.0,79,61
2025-12-05 05:00:00,15.9,12.6,12.1,34.0,1.7,212.0,0.3,469,1517.0,0.0,78,60
2025-12-05 06:00:00,16.8,12.4,14.9,26.0,1.7,208.0,0.3,476,1526.0,0.0,77,58
2025-12-05 07:00:00,17.9,13.5,18.8,16.0,2.4,212.0,0.4,479,1528.0,0.0,75,56
2025-12-05 08:00:00,17.8,14.2,25.1,10.0,3.1,234.0,0.4,476,1515.0,0.0,74,53
2025-12-05 09:00:00,16.6,13.2,35.1,6.0,3.7,262.0,0.5,469,1495.0,0.0,73,51
2025-12-05 10:00:00,15.6,13.4,33.3,5.0,3.6,284.0,0.4,463,1478.0,0.0,72,49
2025-12-05 11:00:00,13.2,11.6,26.0,10.0,2.2,287.0,0.3,460,1469.0,0.0,70,46
2025-12-05 12:00:00,12.9,12.5,18.6,20.0,1.7,319.0,0.3,457,1463.0,0.0,69,44
2025-12-05 13:00:00,13.1,12.7,15.7,30.0,1.6,272.0,0.4,456,1461.0,0.0,68,41
2025-12-05 14:00:00,15.4,14.8,14.3,35.0,1.8,257.0,0.5,455,1463.0,0.0,66,39
2025-12-05 15:00:00,17.0,16.4,16.4,35.0,1.7,267.0,0.6,456,1469.0,0.0,66,39
2025-12-05 16:00:00,19.3,18.3,18.5,32.0,1.6,277.0,0.7,456,1473.0,0.0,65,38
2025-12-05 17:00:00,22.3,20.1,21.3,29.0,1.5,306.0,0.8,457,1475.0,0.0,64,38
2025-12-05 18:00:00,24.8,23.7,22.6,31.0,1.9,350.0,0.8,457,1475.0,0.0,64,37
2025-12-05 19:00:00,25.9,24.3,22.4,29.0,2.1,380.0,0.7,458,1476.0,0.0,63,36
2025-12-05 20:00:00,24.9,24.2,19.8,30.0,2.2,360.0,0.6,458,1478.0,0.0,62,35
2025-12-05 21:00:00,23.8,23.0,19.5,31.0,2.3,392.0,0.5,459,1480.0,0.0,61,34
2025-12-05 22:00:00,24.4,23.6,19.9,32.0,2.2,373.0,0.5,459,1482.0,0.0,61,34
2025-12-05 23:00:00,25.4,22.6,17.8,30.0,2.0,349.0,0.5,459,1485.0,0.0,60,34
2025-12-06 00:00:00,25.0,22.3,16.5,32.0,1.6,335.0,0.4,458,1489.0,0.0,61,34
2025-12-06 01:00:00,23.0,21.7,17.7,25.0,1.3,339.0,0.4,458,1493.0,0.0,61,34
2025-12-06 02:00:00,23.8,22.6,16.3,27.0,1.2,328.0,0.4,458,1496.0,0.0,61,35
2025-12-06 03:00:00,24.3,23.2,16.4,24.0,1.2,349.0,0.5,458,1499.0,0.0,62,35
2025-12-06 04:00:00,24.4,23.2,17.2,23.0,1.2,350.0,0.6,461,1507.0,0.0,63,36
2025-12-06 05:00:00,25.1,23.9,19.4,21.0,1.3,351.0,0.6,470,1525.0,0.0,63,37
2025-12-06 06:00:00,26.8,24.4,22.7,19.0,1.6,375.0,0.8,482,1549.0,0.0,64,38
2025-12-06 07:00:00,27.2,24.7,25.1,15.0,2.1,367.0,0.9,492,1571.0,0.0,66,39
2025-12-06 08:00:00,27.4,24.1,30.4,9.0,3.2,378.0,0.5,499,1593.0,0.0,67,40
2025-12-06 09:00:00,27.9,24.7,34.7,10.0,4.5,362.0,0.5,503,1613.0,0.0,67,41
2025-12-06 10:00:00,29.8,25.2,31.4,14.0,5.8,366.0,0.6,503,1621.0,0.0,68,43
2025-12-06 11:00:00,33.4,26.5,31.6,19.0,4.7,368.0,0.6,494,1609.0,0.0,69,45
2025-12-06 12:00:00,26.8,22.8,28.6,23.0,4.5,347.0,0.7,481,1585.0,0.0,71,47
2025-12-06 13:00:00,23.8,19.0,26.6,28.0,4.1,323.0,0.6,472,1564.0,0.0,72,49
2025-12-06 14:00:00,22.1,17.1,21.9,28.0,3.4,294.0,0.7,470,1548.0,0.0,72,50
2025-12-06 15:00:00,22.0,18.3,24.7,26.0,3.0,270.0,0.7,472,1534.0,0.0,72,50
2025-12-06 16:00:00,23.6,20.0,35.7,19.0,3.0,298.0,0.9,477,1528.0,0.0,73,51
2025-12-06 17:00:00,30.1,24.0,38.2,11.0,3.2,355.0,1.2,484,1534.0,0.0,73,51
2025-12-06 18:00:00,36.3,32.5,35.3,5.0,3.4,417.0,1.3,494,1548.0,0.0,73,52
2025-12-06 19:00:00,41.6,37.6,40.5,2.0,3.8,499.0,1.5,507,1568.0,0.0,74,53
2025-12-06 20:00:00,55.2,49.9,42.2,1.0,4.1,625.0,1.4,528,1597.0,0.0,75,55
2025-12-06 21:00:00,61.9,58.3,42.9,1.0,5.9,646.0,1.5,552,1630.0,0.0,77,59
2025-12-06 22:00:00,62.3,59.3,44.2,0.0,6.0,697.0,1.8,566,1655.0,0.0,81,61
2025-12-06 23:00:00,57.4,56.5,40.7,1.0,5.5,669.0,1.6,560,1663.0,0.0,84,62
2025-12-07 00:00:00,44.4,39.4,34.0,3.0,2.8,553.0,1.2,543,1662.0,0.0,87,63
2025-12-07 01:00:00,23.5,21.8,26.6,9.0,1.2,379.0,0.7,530,1661.0,0.0,88,64
2025-12-07 02:00:00,20.0,18.9,23.9,13.0,0.7,320.0,0.8,523,1662.0,0.0,88,64
2025-12-07 03:00:00,15.3,13.9,21.0,14.0,0.6,281.0,0.8,520,1664.0,0.0,88,64
2025-12-07 04:00:00,15.6,14.1,19.8,15.0,0.8,263.0,0.9,523,1673.0,0.0,87,64
2025-12-07 05:00:00,16.2,12.9,20.7,16.0,1.3,259.0,1.0,539,1696.0,0.0,86,63
2025-12-07 06:00:00,16.1,13.9,21.9,17.0,1.6,266.0,1.0,560,1726.0,0.0,85,63
2025-12-07 07:00:00,15.7,14.1,24.3,13.0,1.9,246.0,1.1,571,1743.0,0.0,84,63
2025-12-07 08:00:00,17.2,14.6,27.8,12.0,2.6,273.0,1.2,560,1736.0,0.0,83,62
2025-12-07 09:00:00,17.4,14.9,28.4,16.0,2.8,295.0,1.3,538,1717.0,0.0,83,62
2025-12-07 10:00:00,16.3,13.2,26.6,35.0,2.9,267.0,1.1,520,1696.0,0.0,82,62
